"Game","Map","Outcome","Event","Player_Team","Action","Player","Concat1","Role1","Concat","Role","Game_Feed","Getting_Voted_Off","Getting_Killed","Game_Player_That_Died","Day","Dying_Feed","Killing_Feed","Finding_Bodies_Feed","Body_Found_Feed","Meeting_Called_Feed","First_Kill_Feed","Self_Report_Code","Self_Report_Feed","Voted_Off_As_Crew_Feed","Body_Skipped_Feed","Votes_Off_Code","Vote_ID","Day_1_Vote","Crew_Alive","Impostors_Alive","Score","Crew_1","Is_Crew_1_Alive_1","Vote1","Crew_2","Is_Crew_1_Alive_2","Vote2","Crew_3","Is_Crew_3_Alive","Vote3","Crew_4","Is_Crew_4_Alive?","Vote4","Crew_5","Is_Crew_5_alive?","Vote5","Crew_6","Is_Crew_6_Alive?","Vote6","Crew_7","Is_Crew_7_Alive?","Vote7","Crew_8","Is_Crew_8_Alive?","Vote8"
3,"Polus",NA,4,"Keaton","kills","zlubars","3-Keaton","(Impostor)","3-zlubars","(Crew).","Keaton (Impostor) kills zlubars (Crew).",NA,"zlubars","3-zlubars",2,"zlubars","Keaton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"zlubars","Yes",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
3,"Polus",NA,5,"Mani","finds body of","zlubars","3-Mani","(Crew)","3-zlubars","(Crew).","Mani (Crew) finds body of zlubars (Crew).",NA,NA,NA,2,NA,NA,"Mani","zlubars",NA,NA,NA,NA,NA,NA,2,"3-2","Impostor voted off.",6,2,"6-2","LSV","Yes","2-LSV-Impostor voted off.","wrapter","Yes","2-wrapter-Impostor voted off.","zlubars","No","2-zlubars-Dead","BK","No","2-BK-Dead","Mani","Yes","2-Mani-Impostor voted off.","5up","Yes","2-5up-Impostor voted off.","Eirik","Yes","2-Eirik-Impostor voted off.","dokomoy","Yes","2-dokomoy-Impostor voted off."
3,"Polus",NA,6,"Crew","votes off","Keaton","3-Crew",NA,"3-Keaton","(Impostor).","Crew votes off Keaton (Impostor).","Keaton",NA,"3-Keaton",2,"Keaton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","LSV","Yes",NA,"wrapter","Yes",NA,"zlubars","No",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
3,"Polus",NA,7,"Dreamy","kills","wrapter","3-Dreamy","(Impostor)","3-wrapter","(Crew).","Dreamy (Impostor) kills wrapter (Crew).",NA,"wrapter","3-wrapter",3,"wrapter","Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"6-1","LSV","Yes",NA,"wrapter","Yes",NA,"zlubars","No",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
3,"Polus",NA,8,"Dreamy","finds body of","wrapter","3-Dreamy","(Impostor)","3-wrapter","(Crew).","Dreamy (Impostor) finds body of wrapter (Crew).",NA,NA,NA,3,NA,NA,"Dreamy","wrapter",NA,NA,1,"Dreamy",NA,NA,2,"3-3","Impostor voted off.",5,1,"5-1","LSV","Yes","3-LSV-Impostor voted off.","wrapter","No","3-wrapter-Dead","zlubars","No","3-zlubars-Dead","BK","No","3-BK-Dead","Mani","Yes","3-Mani-Impostor voted off.","5up","Yes","3-5up-Impostor voted off.","Eirik","Yes","3-Eirik-Impostor voted off.","dokomoy","Yes","3-dokomoy-Impostor voted off."
3,"Polus",NA,9,"Crew","votes off","Dreamy","3-Crew",NA,"3-Dreamy","(Impostor).","Crew votes off Dreamy (Impostor).","Dreamy",NA,"3-Dreamy",3,"Dreamy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"5-1","LSV","Yes",NA,"wrapter","No",NA,"zlubars","No",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
3,"Polus","3-End",10,NA,"Crew Win - Voting",NA,"3-",NA,"3-",NA,"Crew Win - Voting",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,"5-0","LSV","Yes",NA,"wrapter","No",NA,"zlubars","No",NA,"BK","No",NA,"Mani","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"dokomoy","Yes",NA
4,"Polus",NA,1,"LSV","kills","5up","4-LSV","(Impostor)","4-5up","(Crew).","LSV (Impostor) kills 5up (Crew).",NA,"5up","4-5up",1,"5up","LSV",NA,NA,NA,"5up",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"5up","Yes",NA,"Eirik","Yes",NA,"BK","Yes",NA
4,"Polus",NA,2,"Keaton","finds body of","5up","4-Keaton","(Crew)","4-5up","(Crew).","Keaton (Crew) finds body of 5up (Crew).",NA,NA,NA,1,NA,NA,"Keaton","5up",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"4-1","Skipped Vote.",7,2,"7-2","wrapter","Yes","1-wrapter-Skipped Vote.","Keaton","Yes","1-Keaton-Skipped Vote.","zlubars","Yes","1-zlubars-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote.","Dreamy","Yes","1-Dreamy-Skipped Vote.","5up","No","1-5up-Dead","Eirik","Yes","1-Eirik-Skipped Vote.","BK","Yes","1-BK-Skipped Vote."
4,"Polus",NA,3,"Crew","skips voting.",NA,"4-Crew",NA,"4-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","Yes",NA
4,"Polus",NA,4,"LSV","kills","BK","4-LSV","(Impostor)","4-BK","(Crew).","LSV (Impostor) kills BK (Crew).",NA,"BK","4-BK",2,"BK","LSV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","Yes",NA
4,"Polus",NA,5,"Keaton","finds body of","BK","4-Keaton","(Crew)","4-BK","(Crew).","Keaton (Crew) finds body of BK (Crew).",NA,NA,NA,2,NA,NA,"Keaton","BK",NA,NA,NA,NA,NA,NA,2,"4-2","Impostor voted off.",6,2,"6-2","wrapter","Yes","2-wrapter-Impostor voted off.","Keaton","Yes","2-Keaton-Impostor voted off.","zlubars","Yes","2-zlubars-Impostor voted off.","dokomoy","Yes","2-dokomoy-Impostor voted off.","Dreamy","Yes","2-Dreamy-Impostor voted off.","5up","No","2-5up-Dead","Eirik","Yes","2-Eirik-Impostor voted off.","BK","No","2-BK-Dead"
4,"Polus",NA,6,"Crew","votes off","LSV","4-Crew",NA,"4-LSV","(Impostor).","Crew votes off LSV (Impostor).","LSV",NA,"4-LSV",2,"LSV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,7,"Gaby","kills","Dreamy","4-Gaby","(Impostor)","4-Dreamy","(Crew).","Gaby (Impostor) kills Dreamy (Crew).",NA,"Dreamy","4-Dreamy",3,"Dreamy","Gaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"6-1","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","Yes",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,8,"zlubars","finds body of","Dreamy","4-zlubars","(Crew)","4-Dreamy","(Crew).","zlubars (Crew) finds body of Dreamy (Crew).",NA,NA,NA,3,NA,NA,"zlubars","Dreamy",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"4-3","Skipped Vote.",5,1,"5-1","wrapter","Yes","3-wrapter-Skipped Vote.","Keaton","Yes","3-Keaton-Skipped Vote.","zlubars","Yes","3-zlubars-Skipped Vote.","dokomoy","Yes","3-dokomoy-Skipped Vote.","Dreamy","No","3-Dreamy-Dead","5up","No","3-5up-Dead","Eirik","Yes","3-Eirik-Skipped Vote.","BK","No","3-BK-Dead"
4,"Polus",NA,9,"Crew","skips voting.",NA,"4-Crew",NA,"4-",NA,"Crew skips voting.",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"5-1","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,10,"Gaby","kills","Keaton","4-Gaby","(Impostor)","4-Keaton","(Crew).","Gaby (Impostor) kills Keaton (Crew).",NA,"Keaton","4-Keaton",4,"Keaton","Gaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"5-1","wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,11,"zlubars","finds body of","Keaton","4-zlubars","(Crew)","4-Keaton","(Crew).","zlubars (Crew) finds body of Keaton (Crew).",NA,NA,NA,4,NA,NA,"zlubars","Keaton",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"4-4","Skipped Vote.",4,1,"4-1","wrapter","Yes","4-wrapter-Skipped Vote.","Keaton","No","4-Keaton-Dead","zlubars","Yes","4-zlubars-Skipped Vote.","dokomoy","Yes","4-dokomoy-Skipped Vote.","Dreamy","No","4-Dreamy-Dead","5up","No","4-5up-Dead","Eirik","Yes","4-Eirik-Skipped Vote.","BK","No","4-BK-Dead"
4,"Polus",NA,12,"Crew","skips voting.",NA,"4-Crew",NA,"4-",NA,"Crew skips voting.",NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"4-1","wrapter","Yes",NA,"Keaton","No",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,13,"Gaby","kills","wrapter","4-Gaby","(Impostor)","4-wrapter","(Crew).","Gaby (Impostor) kills wrapter (Crew).",NA,"wrapter","4-wrapter",5,"wrapter","Gaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"4-1","wrapter","Yes",NA,"Keaton","No",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,14,"Gaby","finds body of","wrapter","4-Gaby","(Impostor)","4-wrapter","(Crew).","Gaby (Impostor) finds body of wrapter (Crew).",NA,NA,NA,5,NA,NA,"Gaby","wrapter",NA,NA,1,"Gaby",NA,"Skipped - Body Found",0,"4-5","Skipped Vote.",3,1,"3-1","wrapter","No","5-wrapter-Dead","Keaton","No","5-Keaton-Dead","zlubars","Yes","5-zlubars-Skipped Vote.","dokomoy","Yes","5-dokomoy-Skipped Vote.","Dreamy","No","5-Dreamy-Dead","5up","No","5-5up-Dead","Eirik","Yes","5-Eirik-Skipped Vote.","BK","No","5-BK-Dead"
4,"Polus",NA,15,"Crew","skips voting.",NA,"4-Crew",NA,"4-",NA,"Crew skips voting.",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"3-1","wrapter","No",NA,"Keaton","No",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,16,"Gaby","kills","zlubars","4-Gaby","(Impostor)","4-zlubars","(Crew).","Gaby (Impostor) kills zlubars (Crew).",NA,"zlubars","4-zlubars",6,"zlubars","Gaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"3-1","wrapter","No",NA,"Keaton","No",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus",NA,17,"Gaby","finds body of","zlubars","4-Gaby","(Impostor)","4-zlubars","(Crew).","Gaby (Impostor) finds body of zlubars (Crew).",NA,NA,NA,6,NA,NA,"Gaby","zlubars",NA,NA,1,"Gaby",NA,NA,2,"4-6","Impostor voted off.",2,1,"2-1","wrapter","No","6-wrapter-Dead","Keaton","No","6-Keaton-Dead","zlubars","No","6-zlubars-Dead","dokomoy","Yes","6-dokomoy-Impostor voted off.","Dreamy","No","6-Dreamy-Dead","5up","No","6-5up-Dead","Eirik","Yes","6-Eirik-Impostor voted off.","BK","No","6-BK-Dead"
4,"Polus",NA,18,"Crew","votes off","Gaby","4-Crew",NA,"4-Gaby","(Impostor).","Crew votes off Gaby (Impostor).","Gaby",NA,"4-Gaby",6,"Gaby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"2-1","wrapter","No",NA,"Keaton","No",NA,"zlubars","No",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
4,"Polus","4-End",19,NA,"Crew Win - Voting",NA,"4-",NA,"4-",NA,"Crew Win - Voting",NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"2-0","wrapter","No",NA,"Keaton","No",NA,"zlubars","No",NA,"dokomoy","Yes",NA,"Dreamy","No",NA,"5up","No",NA,"Eirik","Yes",NA,"BK","No",NA
5,"Polus",NA,1,"5up","kills","Eirik","5-5up","(Impostor)","5-Eirik","(Crew).","5up (Impostor) kills Eirik (Crew).",NA,"Eirik","5-Eirik",1,"Eirik","5up",NA,NA,NA,"Eirik",NA,NA,NA,NA,NA,NA,NA,8,2,"8-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Gaby","Yes",NA,"Eirik","Yes",NA,"Dreamy","Yes",NA
5,"Polus",NA,2,"wrapter","finds body of","Eirik","5-wrapter","(Crew)","5-Eirik","(Crew).","wrapter (Crew) finds body of Eirik (Crew).",NA,NA,NA,1,NA,NA,"wrapter","Eirik",NA,NA,NA,NA,NA,"Skipped - Body Found",0,"5-1","Skipped Vote.",7,2,"7-2","LSV","Yes","1-LSV-Skipped Vote.","wrapter","Yes","1-wrapter-Skipped Vote.","Keaton","Yes","1-Keaton-Skipped Vote.","zlubars","Yes","1-zlubars-Skipped Vote.","dokomoy","Yes","1-dokomoy-Skipped Vote.","Gaby","Yes","1-Gaby-Skipped Vote.","Eirik","No","1-Eirik-Dead","Dreamy","Yes","1-Dreamy-Skipped Vote."
5,"Polus",NA,3,"Crew","skips voting.",NA,"5-Crew",NA,"5-",NA,"Crew skips voting.",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Gaby","Yes",NA,"Eirik","No",NA,"Dreamy","Yes",NA
5,"Polus",NA,4,"5up","kills","Keaton","5-5up","(Impostor)","5-Keaton","(Crew).","5up (Impostor) kills Keaton (Crew).",NA,"Keaton","5-Keaton",2,"Keaton","5up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"7-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","Yes",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Gaby","Yes",NA,"Eirik","No",NA,"Dreamy","Yes",NA
5,"Polus",NA,5,"BK","kills","Dreamy","5-BK","(Impostor)","5-Dreamy","(Crew).","BK (Impostor) kills Dreamy (Crew).",NA,"Dreamy","5-Dreamy",2,"Dreamy","BK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,"6-2","LSV","Yes",NA,"wrapter","Yes",NA,"Keaton","No",NA,"zlubars","Yes",NA,"dokomoy","Yes",NA,"Gaby","Yes",NA,"Eirik","No",NA,"Dreamy","Yes",NA
