"Crewmate","Day","Event","Count"
"dcsports8","1","Voted_Crew",4
"Ben P","1","Voted_Crew",2
"Squirrel_Loot","1","Voted_Crew",0
"Stunlock","1","Voted_Crew",1
"Rada","1","Voted_Crew",2
"PANCAKE","1","Voted_Crew",2
"Memes","1","Voted_Crew",6
"synthe","1","Voted_Crew",0
"Emily","1","Voted_Crew",1
"CoolJets","1","Voted_Crew",3
"Ambiance","1","Voted_Crew",1
"DBatterskull","1","Voted_Crew",10
"bsweitz","1","Voted_Crew",8
"Zyla","1","Voted_Crew",2
"Andrew","1","Voted_Crew",13
"Barnabus","1","Voted_Crew",9
"Kyle","1","Voted_Crew",2
"LegenVD","1","Voted_Crew",1
"TheAsianAvenger","1","Voted_Crew",1
"Whyin","1","Voted_Crew",0
"GrahamLRR","1","Voted_Crew",0
"Bloody","1","Voted_Crew",8
"Seabats","1","Voted_Crew",3
"AshlenRose","1","Voted_Crew",0
"Voxy","1","Voted_Crew",0
"SwayingRug","1","Voted_Crew",0
"Fader","1","Voted_Crew",3
"TomM","1","Voted_Crew",5
"ScaldingHotSoup","1","Voted_Crew",0
"Corey","1","Voted_Crew",2
"Chosaucer","1","Voted_Crew",8
"BennyB","1","Voted_Crew",7
"Mullibok","1","Voted_Crew",1
"JohnnyCatz","1","Voted_Crew",0
"DoubleFried","1","Voted_Crew",3
"Kibler","1","Voted_Crew",5
"Rafon","1","Voted_Crew",1
"HGRose","1","Voted_Crew",5
"nucleosynth","1","Voted_Crew",0
"Colossus","1","Voted_Crew",0
"Trotske","1","Voted_Crew",1
"Seven","1","Voted_Crew",2
"Saku","1","Voted_Crew",0
"Adrien","1","Voted_Crew",0
"Riley","1","Voted_Crew",0
"Toffel","1","Voted_Crew",1
"Stranjak","1","Voted_Crew",0
"hafu","1","Voted_Crew",0
"DaveWilliams","1","Voted_Crew",3
"Nairbly","1","Voted_Crew",1
"Wolf","1","Voted_Crew",1
"FoxBox","1","Voted_Crew",3
"Ryuu","1","Voted_Crew",2
"coco","1","Voted_Crew",2
"yoinkster","1","Voted_Crew",3
"DuckMyInt","1","Voted_Crew",0
"Isaac","1","Voted_Crew",0
"BRazz","1","Voted_Crew",0
"Scott","1","Voted_Crew",10
"Iroknight","1","Voted_Crew",0
"Dix","1","Voted_Crew",0
"Nick","1","Voted_Crew",2
"Eric","1","Voted_Crew",2
"Nate","1","Voted_Crew",0
"AbeyBaby","1","Voted_Crew",0
"TomRoss","1","Voted_Crew",1
"BradNelson","1","Voted_Crew",1
"Zhoola","1","Voted_Crew",7
"Platypus","1","Voted_Crew",4
"Jason","1","Voted_Crew",5
"niphette","1","Voted_Crew",1
"Bonde","1","Voted_Crew",1
"LeeSharpe","1","Voted_Crew",0
"GGards","1","Voted_Crew",0
"SamSherman","1","Voted_Crew",0
"CALC","1","Voted_Crew",0
"honk","1","Voted_Crew",6
"Murklurker","1","Voted_Crew",1
"Aberdasher","1","Voted_Crew",0
"rettoto","1","Voted_Crew",0
"MurkLurker","1","Voted_Crew",1
"flutter","1","Voted_Crew",2
"Skadj","1","Voted_Crew",0
"ZJ","1","Voted_Crew",0
"sponsz","1","Voted_Crew",0
"Bim","1","Voted_Crew",1
"HunterPence","1","Voted_Crew",1
"LSV","2","Times_Alive",62
"dokomoy","2","Times_Alive",117
"Keaton","2","Times_Alive",76
"zlubars","2","Times_Alive",72
"BK","2","Times_Alive",135
"Dreamy","2","Times_Alive",23
"5up","2","Times_Alive",9
"Eirik","2","Times_Alive",19
"wrapter","2","Times_Alive",53
"Mani","2","Times_Alive",68
"Gaby","2","Times_Alive",28
"samie","2","Times_Alive",3
"LadyAtarka","2","Times_Alive",54
"Oltanya","2","Times_Alive",57
"Bene","2","Times_Alive",3
"Ian","2","Times_Alive",63
"Pojo","2","Times_Alive",71
"Sam","2","Times_Alive",122
"Pheylop","2","Times_Alive",104
"jorbs","2","Times_Alive",65
"julie","2","Times_Alive",2
"Ahamkara","2","Times_Alive",91
"dcsports8","2","Times_Alive",22
"Ben P","2","Times_Alive",2
"Squirrel_Loot","2","Times_Alive",11
"Stunlock","2","Times_Alive",6
"Rada","2","Times_Alive",15
"PANCAKE","2","Times_Alive",1
"Memes","2","Times_Alive",42
"synthe","2","Times_Alive",3
"Emily","2","Times_Alive",9
"CoolJets","2","Times_Alive",29
"Ambiance","2","Times_Alive",3
"DBatterskull","2","Times_Alive",39
"bsweitz","2","Times_Alive",88
"Zyla","2","Times_Alive",15
"Andrew","2","Times_Alive",72
"Barnabus","2","Times_Alive",45
"Kyle","2","Times_Alive",12
"LegenVD","2","Times_Alive",9
"TheAsianAvenger","2","Times_Alive",7
"Whyin","2","Times_Alive",1
"GrahamLRR","2","Times_Alive",6
"Bloody","2","Times_Alive",74
"Seabats","2","Times_Alive",14
"AshlenRose","2","Times_Alive",4
"Voxy","2","Times_Alive",6
"SwayingRug","2","Times_Alive",1
"Fader","2","Times_Alive",25
"TomM","2","Times_Alive",43
"ScaldingHotSoup","2","Times_Alive",5
"Corey","2","Times_Alive",6
"Chosaucer","2","Times_Alive",52
"BennyB","2","Times_Alive",52
"Mullibok","2","Times_Alive",9
"JohnnyCatz","2","Times_Alive",2
"DoubleFried","2","Times_Alive",44
"Kibler","2","Times_Alive",22
"Rafon","2","Times_Alive",3
"HGRose","2","Times_Alive",24
"nucleosynth","2","Times_Alive",10
"Colossus","2","Times_Alive",2
"Trotske","2","Times_Alive",5
"Seven","2","Times_Alive",14
"Saku","2","Times_Alive",7
"Adrien","2","Times_Alive",1
"Riley","2","Times_Alive",5
"Toffel","2","Times_Alive",12
"Stranjak","2","Times_Alive",1
"hafu","2","Times_Alive",3
"DaveWilliams","2","Times_Alive",11
"Nairbly","2","Times_Alive",21
"Wolf","2","Times_Alive",6
"FoxBox","2","Times_Alive",10
"Ryuu","2","Times_Alive",8
"coco","2","Times_Alive",7
"yoinkster","2","Times_Alive",8
"DuckMyInt","2","Times_Alive",0
"Isaac","2","Times_Alive",3
"BRazz","2","Times_Alive",25
"Scott","2","Times_Alive",56
"Iroknight","2","Times_Alive",9
"Dix","2","Times_Alive",7
"Nick","2","Times_Alive",19
"Eric","2","Times_Alive",14
"Nate","2","Times_Alive",1
"AbeyBaby","2","Times_Alive",1
"TomRoss","2","Times_Alive",8
"BradNelson","2","Times_Alive",3
"Zhoola","2","Times_Alive",43
"Platypus","2","Times_Alive",27
"Jason","2","Times_Alive",39
"niphette","2","Times_Alive",0
"Bonde","2","Times_Alive",0
"LeeSharpe","2","Times_Alive",2
"GGards","2","Times_Alive",2
"SamSherman","2","Times_Alive",1
"CALC","2","Times_Alive",0
"honk","2","Times_Alive",32
"Murklurker","2","Times_Alive",3
"Aberdasher","2","Times_Alive",2
"rettoto","2","Times_Alive",1
"MurkLurker","2","Times_Alive",3
"flutter","2","Times_Alive",14
"Skadj","2","Times_Alive",2
"ZJ","2","Times_Alive",5
"sponsz","2","Times_Alive",2
"Bim","2","Times_Alive",3
"HunterPence","2","Times_Alive",2
"LSV","2","Times_Dead",45
"dokomoy","2","Times_Dead",49
"Keaton","2","Times_Dead",38
"zlubars","2","Times_Dead",37
"BK","2","Times_Dead",75
"Dreamy","2","Times_Dead",8
"5up","2","Times_Dead",3
"Eirik","2","Times_Dead",7
"wrapter","2","Times_Dead",29
"Mani","2","Times_Dead",34
"Gaby","2","Times_Dead",19
"samie","2","Times_Dead",0
"LadyAtarka","2","Times_Dead",20
"Oltanya","2","Times_Dead",36
"Bene","2","Times_Dead",0
"Ian","2","Times_Dead",35
"Pojo","2","Times_Dead",22
"Sam","2","Times_Dead",55
"Pheylop","2","Times_Dead",40
"jorbs","2","Times_Dead",46
"julie","2","Times_Dead",1
"Ahamkara","2","Times_Dead",44
"dcsports8","2","Times_Dead",12
"Ben P","2","Times_Dead",3
"Squirrel_Loot","2","Times_Dead",3
"Stunlock","2","Times_Dead",2
"Rada","2","Times_Dead",11
"PANCAKE","2","Times_Dead",1
"Memes","2","Times_Dead",19
"synthe","2","Times_Dead",2
"Emily","2","Times_Dead",4
"CoolJets","2","Times_Dead",21
"Ambiance","2","Times_Dead",2
"DBatterskull","2","Times_Dead",50
"bsweitz","2","Times_Dead",34
"Zyla","2","Times_Dead",6
"Andrew","2","Times_Dead",40
"Barnabus","2","Times_Dead",24
"Kyle","2","Times_Dead",6
"LegenVD","2","Times_Dead",3
"TheAsianAvenger","2","Times_Dead",3
"Whyin","2","Times_Dead",0
"GrahamLRR","2","Times_Dead",4
"Bloody","2","Times_Dead",33
"Seabats","2","Times_Dead",6
"AshlenRose","2","Times_Dead",3
"Voxy","2","Times_Dead",3
"SwayingRug","2","Times_Dead",0
"Fader","2","Times_Dead",17
"TomM","2","Times_Dead",10
"ScaldingHotSoup","2","Times_Dead",6
"Corey","2","Times_Dead",6
"Chosaucer","2","Times_Dead",34
"BennyB","2","Times_Dead",26
"Mullibok","2","Times_Dead",2
"JohnnyCatz","2","Times_Dead",2
"DoubleFried","2","Times_Dead",21
"Kibler","2","Times_Dead",11
"Rafon","2","Times_Dead",4
"HGRose","2","Times_Dead",10
"nucleosynth","2","Times_Dead",3
"Colossus","2","Times_Dead",0
"Trotske","2","Times_Dead",3
"Seven","2","Times_Dead",8
"Saku","2","Times_Dead",4
"Adrien","2","Times_Dead",1
"Riley","2","Times_Dead",2
"Toffel","2","Times_Dead",6
"Stranjak","2","Times_Dead",0
"hafu","2","Times_Dead",1
"DaveWilliams","2","Times_Dead",7
"Nairbly","2","Times_Dead",14
"Wolf","2","Times_Dead",0
"FoxBox","2","Times_Dead",4
"Ryuu","2","Times_Dead",5
"coco","2","Times_Dead",1
"yoinkster","2","Times_Dead",6
"DuckMyInt","2","Times_Dead",2
"Isaac","2","Times_Dead",0
"BRazz","2","Times_Dead",19
"Scott","2","Times_Dead",33
"Iroknight","2","Times_Dead",1
"Dix","2","Times_Dead",7
"Nick","2","Times_Dead",13
"Eric","2","Times_Dead",8
"Nate","2","Times_Dead",0
"AbeyBaby","2","Times_Dead",0
"TomRoss","2","Times_Dead",3
"BradNelson","2","Times_Dead",3
"Zhoola","2","Times_Dead",19
"Platypus","2","Times_Dead",12
"Jason","2","Times_Dead",23
"niphette","2","Times_Dead",2
"Bonde","2","Times_Dead",1
"LeeSharpe","2","Times_Dead",1
"GGards","2","Times_Dead",1
"SamSherman","2","Times_Dead",0
"CALC","2","Times_Dead",1
"honk","2","Times_Dead",22
"Murklurker","2","Times_Dead",4
"Aberdasher","2","Times_Dead",1
"rettoto","2","Times_Dead",1
"MurkLurker","2","Times_Dead",4
"flutter","2","Times_Dead",10
"Skadj","2","Times_Dead",0
"ZJ","2","Times_Dead",2
"sponsz","2","Times_Dead",1
"Bim","2","Times_Dead",0
"HunterPence","2","Times_Dead",1
"LSV","2","Skipped",28
"dokomoy","2","Skipped",58
"Keaton","2","Skipped",36
"zlubars","2","Skipped",35
"BK","2","Skipped",61
"Dreamy","2","Skipped",9
"5up","2","Skipped",2
"Eirik","2","Skipped",7
"wrapter","2","Skipped",26
"Mani","2","Skipped",32
"Gaby","2","Skipped",16
"samie","2","Skipped",3
"LadyAtarka","2","Skipped",27
"Oltanya","2","Skipped",24
"Bene","2","Skipped",2
"Ian","2","Skipped",30
"Pojo","2","Skipped",33
"Sam","2","Skipped",63
"Pheylop","2","Skipped",46
"jorbs","2","Skipped",31
"julie","2","Skipped",2
"Ahamkara","2","Skipped",43
"dcsports8","2","Skipped",11
"Ben P","2","Skipped",1
"Squirrel_Loot","2","Skipped",4
"Stunlock","2","Skipped",3
"Rada","2","Skipped",10
"PANCAKE","2","Skipped",0
"Memes","2","Skipped",18
"synthe","2","Skipped",0
"Emily","2","Skipped",3
"CoolJets","2","Skipped",14
"Ambiance","2","Skipped",3
"DBatterskull","2","Skipped",20
"bsweitz","2","Skipped",44
"Zyla","2","Skipped",7
"Andrew","2","Skipped",32
"Barnabus","2","Skipped",17
